date,count
2023-07-19,1256
2023-07-20,1252
2023-07-21,1208
2023-07-22,1208
2023-07-23,1208
2023-07-24,1196
2023-07-25,1196
2023-07-26,1232
2023-07-27,1200
2023-07-28,1200
2023-07-29,1192
2023-07-30,1200
2023-07-31,1192
2023-08-01,1208
2023-08-02,1204
2023-08-03,1204
2023-08-04,1204
2023-08-05,1204
2023-08-06,1220
2023-08-07,1232
2023-08-08,1240
2023-08-09,1240
2023-08-10,1156
2023-08-11,1124
2023-08-12,1124
2023-08-13,1124
2023-08-14,1132
2023-08-15,1132
2023-08-16,1112
2023-08-17,1180
2023-08-18,1128
2023-08-19,1128
2023-08-20,1124
2023-08-21,1124
2023-08-22,1140
2023-08-23,1140
2023-08-24,1188
2023-08-25,1188
2023-08-26,1188
2023-08-27,1188
2023-08-28,1156
2023-08-29,1156
2023-08-30,1148
2023-08-31,1120
2023-09-01,1144
2023-09-02,1120
2023-09-03,1160
2023-09-04,1160
2023-09-05,1016
2023-09-06,1016
2023-09-07,1044
2023-09-08,1044
2023-09-09,1048
2023-09-10,1052
2023-09-11,1036
2023-09-12,1056
2023-09-13,1012
2023-09-14,1012
2023-09-15,1012
2023-09-16,1036
2023-09-17,1036
2023-09-18,1012
2023-09-19,996
2023-09-20,948
2023-09-21,980
2023-09-22,1016
2023-09-23,1024
2023-09-24,1056
2023-09-25,1036
2023-09-26,1028
2023-09-27,1024
2023-09-28,1052
2023-09-29,1048
2023-09-30,1048
2023-10-01,1048
2023-10-02,1044
2023-10-03,1052
2023-10-04,1092
2023-10-05,1096
2023-10-06,1108
2023-10-07,1108
2023-10-08,1108
2023-10-09,1124
2023-10-10,1124
2023-10-11,1124
2023-10-12,1108
2023-10-13,1036
2023-10-14,1052
2023-10-15,1052
2023-10-16,1052
2023-10-17,1012
2023-10-18,1004
2023-10-19,1004
2023-10-20,1080
2023-10-21,1080
2023-10-22,1040
2023-10-23,1040
2023-10-24,1036
2023-10-25,996
2023-10-26,1052
2023-10-27,1052
2023-10-28,1052
2023-10-29,1052
2023-10-30,1020
2023-10-31,1020
2023-11-01,1020
2023-11-02,992
2023-11-03,976
2023-11-04,976
2023-11-05,980
2023-11-06,992
2023-11-07,992
2023-11-08,992
2023-11-09,1008
2023-11-10,992
2023-11-11,984
2023-11-12,992
2023-11-13,968
2023-11-14,964
2023-11-15,988
2023-11-16,1004
2023-11-17,1020
2023-11-18,1004
2023-11-19,1004
2023-11-20,988
2023-11-21,988
2023-11-22,1016
2023-11-23,996
2023-11-24,988
2023-11-25,980
2023-11-26,972
2023-11-27,988
2023-11-28,1000
2023-11-29,976
2023-11-30,984
2023-12-01,1004
2023-12-02,1004
2023-12-03,1008
2023-12-04,1008
2023-12-05,1024
2023-12-06,1020
2023-12-07,984
2023-12-08,984
2023-12-09,992
2023-12-10,992
2023-12-11,992
2023-12-12,980
2023-12-13,984
2023-12-14,984
2023-12-15,968
2023-12-16,960
2023-12-17,964
2023-12-18,984
2023-12-19,1036
2023-12-20,1020
2023-12-21,1012
2023-12-22,984
2023-12-23,984
2023-12-24,1000
2023-12-25,996
2023-12-26,988
2023-12-27,1004
2023-12-28,1004
2023-12-29,1012
2023-12-30,1020
2023-12-31,1016
2024-01-01,1008
2024-01-02,1016
2024-01-03,968
2024-01-04,972
2024-01-05,984
2024-01-06,956
2024-01-07,964
2024-01-08,964
2024-01-09,956
2024-01-10,956
2024-01-11,940
2024-01-12,940
2024-01-13,980
2024-01-14,984
2024-01-15,976
2024-01-16,976
2024-01-17,1048
2024-01-18,1048
2024-01-19,1048
2024-01-20,1048
2024-01-21,1040
2024-01-22,1048
2024-01-23,968
2024-01-24,1024
2024-01-25,1064
2024-01-26,1048
2024-01-27,1020
2024-01-28,1036
2024-01-29,1036
2024-01-30,1064
2024-01-31,1040
2024-02-01,1036
2024-02-02,964
2024-02-03,972
2024-02-04,980
2024-02-05,988
2024-02-06,996
2024-02-07,1000
2024-02-08,976
2024-02-09,1068
2024-02-10,1084
2024-02-11,1092
2024-02-12,1064
2024-02-13,1004
2024-02-14,1084
2024-02-15,1044
2024-02-16,988
2024-02-17,1036
2024-02-18,1032
2024-02-19,1032
2024-02-20,1032
2024-02-21,1032
2024-02-22,1088
2024-02-23,1096
2024-02-24,1096
2024-02-25,1088
2024-02-26,996
2024-02-27,988
2024-02-28,964
2024-02-29,972
2024-03-01,984
2024-03-02,984
2024-03-03,984
2024-03-04,1004
2024-03-05,1008
2024-03-06,1016
2024-03-07,1016
2024-03-08,1024
2024-03-09,1024
2024-03-10,1024
2024-03-11,1020
2024-03-12,1000
2024-03-13,988
2024-03-14,948
2024-03-15,972
2024-03-16,972
2024-03-17,972
2024-03-18,972
2024-03-19,980
2024-03-20,960
2024-03-21,980
2024-03-22,1000
2024-03-23,996
2024-03-24,980
2024-03-25,932
2024-03-26,932
2024-03-27,948
2024-03-28,940
2024-03-29,988
2024-03-30,988
2024-03-31,988
2024-04-01,948
2024-04-02,940
2024-04-03,948
2024-04-04,956
2024-04-05,1004
2024-04-06,1004
2024-04-07,1020
2024-04-08,940
2024-04-09,900
2024-04-10,900
2024-04-11,908
2024-04-12,948
2024-04-13,940
2024-04-14,940
2024-04-15,948
2024-04-16,940
2024-04-17,936
2024-04-18,928
2024-04-19,888
2024-04-20,908
2024-04-21,880
2024-04-22,832
2024-04-23,928
2024-04-24,920
2024-04-25,872
2024-04-26,928
2024-04-27,928
2024-04-28,936
2024-04-29,936
2024-04-30,936
2024-05-01,904
2024-05-02,912
2024-05-03,848
2024-05-04,848
2024-05-05,872
2024-05-06,856
2024-05-07,872
2024-05-08,2584
2024-05-09,824
2024-05-10,792
2024-05-11,792
2024-05-12,768
2024-05-13,768
2024-05-14,768
2024-05-15,744
2024-05-16,736
2024-05-17,784
2024-05-18,808
2024-05-19,816
2024-05-20,776
2024-05-21,800
2024-05-22,800
2024-05-23,816
2024-05-24,2112
2024-05-25,1732
2024-05-26,2248
2024-05-27,2184
2024-05-28,796
2024-05-29,772
2024-05-30,788
2024-05-31,2632
2024-06-01,2768
2024-06-02,788
2024-06-03,780
2024-06-04,2272
2024-06-05,756
2024-06-06,2392
2024-06-07,2448
2024-06-08,2448
2024-06-09,2616
2024-06-10,2520
2024-06-11,2584
2024-06-12,2560
2024-06-13,2512
2024-06-14,2608
2024-06-15,2280
2024-06-16,2504
2024-06-17,2504
2024-06-18,2600
2024-06-19,1960
2024-06-20,2088
2024-06-21,2296
2024-06-22,2080
2024-06-23,2264
2024-06-24,2400
2024-06-25,2928
2024-06-26,2184
2024-06-27,3240
2024-06-28,3464
2024-06-29,2856
2024-06-30,2720
2024-07-01,2016
2024-07-02,2288
2024-07-03,2336
2024-07-04,2880
2024-07-05,2768
2024-07-06,2584
2024-07-07,2632
2024-07-08,2312
2024-07-09,3104
2024-07-10,2656
2024-07-11,2432
2024-07-12,2400
2024-07-13,2456
2024-07-14,2456
2024-07-15,2648
2024-07-16,2504
2024-07-17,2616
2024-07-18,2496
2024-07-19,2120
2024-07-20,2736
2024-07-21,3104
2024-07-22,2512
2024-07-23,2576
2024-07-24,2368
2024-07-25,2816
2024-07-26,2512
2024-07-27,2624
2024-07-28,2536
2024-07-29,2536
2024-07-30,2336
2024-07-31,2760
2024-08-02,2936
2024-08-03,2872
2024-08-04,2552
2024-08-05,2864
2024-08-06,2944
2024-08-07,2448
2024-08-08,2648
2024-08-09,2424
2024-08-10,2352
2024-08-11,2928
2024-08-12,2456
2024-08-13,2280
2024-08-14,2520
2024-08-15,2352
2024-08-16,2440
2024-08-17,2464
2024-08-18,2528
2024-08-19,2752
2024-08-20,2496
2024-08-21,2568
2024-08-22,2824
